YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2015,9,72000,18998,2015 CarMax
2021,3,85211,26788,2021 CragsList
2022,2,36676,29985,2022 CraigsList
2023,1,29840,29840,2023 Carvana
